Market_Cap,Name,Price,Rank,Volume,Link,Circulating_Supply,value1,value3,Symbol,value2
"
$489,517,070
",Maker,$672.20,"
22
","$451,456",/currencies/maker/,"728,228",0.34%,1.16%,MKR,-0.46%
"
$479,505,405
",0x,$0.883147,"
23
","$12,907,496",/currencies/0x/,"542,950,908",-0.33%,20.50%,ZRX,-1.32%
"
$466,572,564
",OmiseGO,$3.33,"
24
","$16,813,327",/currencies/omisego/,"140,245,398",0.49%,5.46%,OMG,-1.19%
"
$451,862,178
",Bitcoin Gold,$26.12,"
25
","$2,045,455",/currencies/bitcoin-gold/,"17,301,186",0.11%,-0.65%,BTG,-1.25%
"
$388,762,592
",Qtum,$4.37,"
26
","$219,406,543",/currencies/qtum/,"88,979,504",-0.67%,20.49%,QTUM,6.93%
"
$374,489,751
",Ontology,$1.81,"
27
","$13,411,769",/currencies/ontology/,"207,016,949",-0.07%,-2.28%,ONT,-1.98%
"
$336,319,425
",Decred,$38.73,"
28
","$568,503",/currencies/decred/,"8,683,264",0.23%,-0.92%,DCR,1.30%
"
$319,767,338
",Lisk,$2.87,"
29
","$5,239,257",/currencies/lisk/,"111,424,181",0.35%,-1.44%,LSK,-1.59%
"
$308,290,000
",Aeternity,$1.32,"
30
","$10,255,245",/currencies/aeternity/,"233,020,472",-0.74%,12.24%,AE,-4.97%
"
$283,650,209
",Basic Attenti...,$0.283650,"
31
","$27,506,598",/currencies/basic-attention-token/,"1,000,000,000",0.02%,58.48%,BAT,19.21%
"
$276,060,950
 ",Bitcoin Diamond,$1.80,"
32
","$2,797,162",/currencies/bitcoin-diamond/,"153,756,875",-1.47%,2.15%,BCD,2.99%
"
$267,533,880
",BitShares,$0.100314,"
33
","$4,353,960",/currencies/bitshares/,"2,666,960,000",-0.03%,-3.92%,BTS,-2.81%
"
$266,044,726
",Nano,$2.00,"
34
","$3,992,372",/currencies/nano/,"133,248,289",0.09%,6.90%,NANO,-5.12%
"
$265,243,403
",Zilliqa,$0.034089,"
35
","$3,762,753",/currencies/zilliqa/,"7,781,012,516",0.26%,-0.55%,ZIL,-2.57%
"
$263,798,020
",ICON,$0.680890,"
36
","$14,951,400",/currencies/icon/,"387,431,340",-0.27%,6.61%,ICX,-3.22%
"
$254,943,378
",Siacoin,$0.006795,"
37
","$4,061,966",/currencies/siacoin/,"37,517,162,720",-0.40%,4.59%,SC,-4.65%
"
$251,684,342
",DigiByte,$0.022975,"
38
","$2,188,651",/currencies/digibyte/,"10,954,876,856",-0.93%,-5.51%,DGB,-2.27%
"
$249,347,786
",Bytecoin,$0.001355,"
39
","$500,685",/currencies/bytecoin-bcn/,"184,066,828,814",0.49%,-8.02%,BCN,-0.47%
"
$226,183,341
",Steem,$0.805366,"
40
","$625,747",/currencies/steem/,"280,845,271",0.06%,-3.27%,STEEM,-2.51%
"
$216,291,020
",Bytom,$0.215752,"
41
","$63,253,242",/currencies/bytom/,"1,002,499,275",-0.51%,21.00%,BTM,-3.89%
"
$214,529,555
",Verge,$0.014140,"
42
","$2,186,120",/currencies/verge/,"15,172,086,051",0.31%,-2.61%,XVG,-3.00%
"
$202,741,871
",Pundi X,$0.001614,"
43
","$28,876,272",/currencies/pundi-x/,"125,649,999,413",-1.89%,1.71%,NPXS,5.56%
"
$195,294,353
",Waves,$1.95,"
44
","$6,232,611",/currencies/waves/,"100,000,000",0.40%,-2.48%,WAVES,-2.32%
"
$168,216,528
",TrueUSD,$1.01,"
45
","$17,164,849",/currencies/trueusd/,"166,544,898",0.12%,-4.83%,TUSD,-0.27%
"
$162,634,353
",Metaverse ETP,$3.08,"
46
","$6,960,296",/currencies/metaverse/,"52,811,435",-0.06%,-5.65%,ETP,-3.07%
"
$157,094,461
",Electroneum,$0.019231,"
47
","$510,505",/currencies/electroneum/,"8,168,998,769",0.71%,-15.32%,ETN,-2.22%
"
$154,115,790
",Golem,$0.160664,"
 48
","$1,727,418",/currencies/golem-network-tokens/,"959,242,000",0.48%,7.45%,GNT,-2.71%
"
$149,728,975
",Holo,$0.001124,"
49
","$4,690,634",/currencies/holo/,"133,214,575,156",0.78%,3.13%,HOT,-1.92%
"
$144,342,691
",Augur,$13.12,"
50
","$1,883,862",/currencies/augur/,"11,000,000",0.37%,5.28%,REP,1.49%
"
$141,964,645
",Stratis,$1.43,"
51
","$472,482",/currencies/stratis/,"99,062,703",0.04%,0.99%,STRAT,-0.64%
"
$137,374,873
",Komodo,$1.24,"
52
","$692,866",/currencies/komodo/,"110,383,251",0.44%,5.18%,KMD,-4.61%
"
$127,399,536
",Populous,$3.44,"
53
","$796,512",/currencies/populous/,"37,004,027",3.34%,4.11%,PPT,-1.82%
"
$125,978,230
",Chainlink,$0.359938,"
54
","$1,036,667",/currencies/chainlink/,"350,000,000",-0.21%,7.01%,LINK,-3.89%
"
$124,623,302
",Status,$0.035909,"
55
","$1,331,706",/currencies/status/,"3,470,483,788",0.19%,-0.77%,SNT,-1.32%
"
$119,591,330
",Cryptonex,$2.15,"
56
","$7,997,445",/currencies/cryptonex/,"55,516,065",2.66%,-1.80%,CNX,0.86%
"
$118,879,378
",Waltonchain,$2.96,"
57
","$20,327,088",/currencies/waltonchain/,"40,144,099",2.23%,1.32%,WTC,0.17%
"
$113,400,088
",Ardor,$0.113514,"
58
","$1,052,513",/currencies/ardor/,"998,999,495",0.34%,-1.85%,ARDR,-1.74%
"
$110,465,744
",Ravencoin,$0.053208,"
59
","$122,933,109",/currencies/ravencoin/,"2,076,125,000",-0.22%,193.84%,RVN,44.65%
"
$103,302,470
",Wanchain,$0.973152,"
60
","$1,385,412",/currencies/wanchain/,"106,152,493",0.12%,-0.57%,WAN,-3.83%
"
$102,109,276
",Mithril,$0.263581,"
61
","$19,594,053",/currencies/mithril/,"387,392,092",0.36%,5.18%,MITH,1.86%
"
$101,732,318
",Aion,$0.418986,"
62
","$3,229,696",/currencies/aion/,"242,806,287",-0.50%,-6.18%,AION,-3.87%
"
$101,173,242
",IOST,$0.012044,"
63
","$3,736,422",/currencies/iostoken/,"8,400,000,000",-0.17%,2.03%,IOST,-1.79%
"
$99,749,574
",KuCoin Shares,$1.10,"
64
","$163,739",/currencies/kucoin-shares/,"90,730,576",0.12%,-1.43%,KCS,-1.59%
"
$94,118,414
",MaidSafeCoin,$0.207972,"
65
","$726,385",/currencies/maidsafecoin/,"452,552,412",-0.54%,11.40%,MAID,3.61%
"
$92,280,515
",Aurora,$0.026052,"
66
","$641,107",/currencies/aurora/,"3,542,212,220",-0.17%,8.08%,AOA,-2.10%
"
$91,025,303
",ETERNAL TOKEN,$1.51,"
67
","$451,744",/currencies/eternal-token/,"60,440,001",2.05%,-20.19%,XET,-2.79%
"
$87,818,211
",DigixDAO,$43.91,"
68
","$489,572",/currencies/digixdao/,"2,000,000",0.65%,7.01%,DGD,-5.75%
"
$86,515,273
",Loopring,$0.109654,"
69
","$768,183",/currencies/loopring/,"788,984,491",0.00%,1.51%,LRC,-2.92%
"
$85,949,912
",Digitex Futures,$0.122786,"
70
","$711,920",/currencies/digitex-futures/,"700,000,000",0.32%,-7.26%,DGTX,-7.76%
"
$85,616,831
",ReddCoin,$0.002972,"
71
","$540,828",/currencies/reddcoin/,"28,808,713,174",-0.49%,-9.11%,RDD,-5.69%
"
$84,862,674
",HyperCash,$1.95,"
72
","$1,249,471",/currencies/hypercash/,"43,529,781",-0.10%,3.95%,HC,1.55%
"
$83,288,365
",GXChain,$1.39,"
73
","$1,497,633",/currencies/gxchain/,"60,000,000",0.38%,-10.72%,GXS,-3.16%
"
$82,635,799
",CyberMiles,$0.108077,"
74
","$3,127,770",/currencies/cybermiles/,"764,598,429",-0.57%,-11.71%,CMT,-5.11%
"
$82,077,515
",aelf,$0.328310,"
75
","$5,954,080",/currencies/aelf/,"250,000,000",0.43%,-1.97%,ELF,-4.02%
"
$80,548,697
",Huobi Token,$1.61,"
76
","$5,772,666",/currencies/huobi-token/,"50,000,200",0.28%,-1.96%,HT,-1.71%
"
$80,368,365
",Ark,$0.759126,"
77
","$724,950",/currencies/ark/,"105,869,588",1.69%,6.58%,ARK,-3.37%
"
$78,751,613
",Crypto.com,$4.99,"
78
","$5,779,297",/currencies/crypto-com/,"15,793,831",-4.24%,16.53%,MCO,11.58%
"
$76,619,207
",Dentacoin,$0.000236,"
79
","$42,763",/currencies/dentacoin/,"325,226,613,094",1.90%,-3.12%,DCN,-0.64%
"
$76,357,647
",Loom Network,$0.127049,"
80
","$5,028,912",/currencies/loom-network/,"601,009,215",-0.07%,5.20%,LOOM,-0.92%
"
$76,004,785
",QASH,$0.217157,"
 81
","$536,848",/currencies/qash/,"350,000,000",-0.06%,-3.37%,QASH,-0.10%
"
$75,442,362
",Nexo,$0.134719,"
 82
","$2,944,174",/currencies/nexo/,"560,000,011",0.75%,34.39%,NEXO,12.74%
"
$74,920,889
",Veritaseum,$36.79,"
83
","$769,858",/currencies/veritaseum/,"2,036,645",-2.23%,71.38%,VERI,19.30%
"
$74,438,707
",Bancor,$1.28,"
84
","$2,793,870",/currencies/bancor/,"58,075,697",0.22%,-4.85%,BNT,-1.59%
"
$74,375,665
",Decentraland,$0.070824,"
85
","$3,261,991",/currencies/decentraland/,"1,050,141,509",0.27%,-0.86%,MANA,-1.45%
"
$73,950,297
",FunFair,$0.014277,"
86
","$525,776",/currencies/funfair/,"5,179,824,689",0.44%,-3.25%,FUN,-3.51%
"
$73,477,542
",PIVX,$1.29,"
87
","$568,510",/currencies/pivx/,"56,781,166",0.40%,14.96%,PIVX,-0.99%
"
$73,242,240
",Nebulas,$1.61,"
88
","$4,628,650",/currencies/nebulas-token/,"45,500,000",0.54%,-11.43%,NAS,-3.78%
"
$73,205,022
",WAX,$0.078311,"
89
","$1,186,053",/currencies/wax/,"934,793,407",0.93%,22.87%,WAX,7.76%
"
$72,397,292
",MonaCoin,$1.15,"
90
","$291,042",/currencies/monacoin/,"63,130,875",0.13%,-4.40%,MONA,-1.80%
"
$71,726,559
",MOAC,$1.15,"
91
","$83,234",/currencies/moac/,"62,463,334",0.33%,-11.25%,MOAC,-0.57%
"
$69,081,846
",Dropil,$0.003078,"
92
","$213,516",/currencies/dropil/,"22,440,173,614",0.36%,-1.96%,DROP,-2.74%
"
$67,947,543
",Power Ledger,$0.175310,"
93
","$5,137,087",/currencies/power-ledger/,"387,585,912",0.70%,4.51%,POWR,-4.38%
"
$67,674,658
",Elastos,$8.76,"
94
","$2,040,117",/currencies/elastos/,"7,722,239",-0.81%,3.18%,ELA,-4.34%
"
$67,499,887
",Horizen,$13.53,"
95
","$388,903",/currencies/zencash/,"4,987,300",-0.06%,-0.72%,ZEN,-4.61%
"
$67,217,093
",Polymath,$0.235670,"
96
","$3,853,685",/currencies/polymath-network/,"285,217,107",6.57%,16.99%,POLY,0.10%
"
$64,076,466
",Dai,$1.02,"
97
","$6,083,732",/currencies/dai/,"63,074,345",0.26%,1.95%,DAI,-0.80%
"
$63,926,836
",SALT,$0.770761,"
98
","$5,706,199",/currencies/salt/,"82,939,903",2.34%,36.47%,SALT,-0.59%
"
$62,024,049
",Genesis Vision,$14.04,"
99
","$2,849,681",/currencies/genesis-vision/,"4,417,123",-0.35%,18.22%,GVT,-0.67%
"
$61,795,491
",Theta Token,$0.087653,"
100
","$601,604",/currencies/theta-token/,"705,002,689",0.43%,-3.45%,THETA,-1.57%
"
$60,733,575
",TenX,$0.555416,"
101
","$345,622",/currencies/tenx/,"109,347,861",0.35%,-7.19%,PAY,-1.80%
"
$59,718,089
",Nxt,$0.059778,"
102
","$944,511",/currencies/nxt/,"998,999,942",0.33%,-4.23%,NXT,-1.76%
"
$55,862,320
",Mixin,$125.89,"
103
","$57,906",/currencies/mixin/,"443,755",0.19%,-2.17%,XIN,-2.53%
"
$55,242,997
",ZCoin,$9.59,"
104
","$1,348,729",/currencies/zcoin/,"5,757,841",1.54%,1.89%,XZC,-6.40%
"
$54,970,505
",Kyber Network,$0.409822,"
105
","$1,768,674",/currencies/kyber-network/,"134,132,697",0.08%,0.30%,KNC,-4.87%
"
$54,953,909
",RChain,$0.142055,"
106
","$400,025",/currencies/rchain/,"386,849,267",0.92%,-23.56%,RHOC,-2.10%
"
$53,646,458
",Syscoin,$0.098970,"
107
","$746,926",/currencies/syscoin/,"542,047,863",0.29%,2.56%,SYS,-2.92%
"
$52,693,658
",Gas,$5.20,"
108
","$473,196",/currencies/gas/,"10,128,375",0.67%,-0.40%,GAS,-2.33%
"
$52,657,176
",Odyssey,$0.011086,"
109
","$3,246,021",/currencies/odyssey/,"4,750,000,000",-0.68%,4.21%,OCN,-5.43%
"
$51,807,174
",MobileGo,$0.518072,"
110
","$9,533,884",/currencies/mobilego/,"100,000,000",0.26%,10.72%,MGO,7.55%
"
$48,157,841
",Everipedia,$0.009696,"
111
","$625,485",/currencies/everipedia/,"4,966,719,257",0.38%,0.99%,IQ,-0.59%
"
$47,043,868
",Revain,$0.165385,"
112
","$2,931,910",/currencies/revain/,"284,450,000",-0.29%,21.98%,R,0.58%
"
$46,931,289
",Dragonchain,$0.196841,"
113
","$716,124",/currencies/dragonchain/,"238,421,940",-0.46%,-4.16%,DRGN,0.28%
"
$46,715,551
",Cortex,$0.311869,"
114
","$2,062,673",/currencies/cortex/,"149,792,458",-0.02%,3.53%,CTXC,-4.98%
"
$46,349,993
",Storj,$0.341342,"
115
","$1,863,674",/currencies/storj/,"135,787,439",-0.47%,-6.48%,STORJ,1.24%
"
$46,149,018
",Bitcoin Private,$2.25,"
116
","$88,943",/currencies/bitcoin-private/,"20,524,490",-0.25%,-9.13%,BTCP,-4.45%
"
$45,387,065
",Civic,$0.132440,"
117
","$2,587,806",/currencies/civic/,"342,699,966",0.16%,0.84%,CVC,-4.15%
"
$45,277,310
",Enigma,$0.605019,"
118
","$1,155,488",/currencies/enigma-project/,"74,836,171",0.59%,2.28%,ENG,-2.93%
"
$44,975,610
",Nuls,$1.12,"
119
","$1,862,010",/currencies/nuls/,"40,000,000",-0.26%,-1.23%,NULS,-1.89%
"
$44,072,575
",Kin,$0.000058,"
120
","$227,058",/currencies/kin/,"756,097,560,976",-1.06%,-0.78%,KIN,-1.84%
"
$43,903,522
",Noah Coin,$0.001343,"
121
","$446,880",/currencies/noah-coin/,"32,687,957,978",1.02%,0.08%,NOAH,-5.07%
"
$42,827,405
",Substratum,$0.111815,"
122
","$572,665",/currencies/substratum/,"383,021,000",1.09%,4.83%,SUB,-2.38%
"
$42,667,007
",Request Network,$0.058757,"
123
","$1,711,705",/currencies/request-network/,"726,158,866",0.37%,4.49%,REQ,-9.17%
"
$42,659,673
",QuarkChain,$0.053215,"
124
","$9,289,203",/currencies/quarkchain/,"801,649,919",-0.31%,-22.58%,QKC,-10.51%
"
$41,848,473
",Paxos Standar...,$1.01,"
125
","$16,357,132",/currencies/paxos-standard-token/,"41,531,643",0.08%,-3.97%,PAX,-0.49%
"
$40,851,330
",Emercoin,$0.969916,"
126
","$357,082",/currencies/emercoin/,"42,118,422",-0.40%,-1.60%,EMC,-1.60%
"
$39,971,409
",Dent,$0.002318,"
127
","$1,622,984",/currencies/dent/,"17,241,387,101",0.52%,3.98%,DENT,16.47%
"
$39,730,075
",Insight Chain,$0.276239,"
128
","$3,742,597",/currencies/insight-chain/,"143,824,892",-0.51%,-11.89%,INB,-3.68%
"
$39,526,778
",Gifto,$0.074324,"
129
","$26,202,177",/currencies/gifto/,"531,819,169",-0.40%,12.76%,GTO,2.43%
"
$39,525,040
",Nexus,$0.661974,"
130
","$434,310",/currencies/nexus/,"59,707,886",0.14%,-7.13%,NXS,-3.28%
"
$39,406,382
",Cindicator,$0.027252,"
131
","$2,589,774",/currencies/cindicator/,"1,445,976,590",-3.79%,30.41%,CND,-5.18%
"
$38,666,733
",iExec RLC,$0.482907,"
132
","$720,703",/currencies/rlc/,"80,070,793",1.36%,17.41%,RLC,3.95%
"
$38,628,574
",WaykiChain,$0.227378,"
133
","$1,047,063",/currencies/waykichain/,"169,887,223",-0.36%,5.23%,WICC,0.77%
"
$38,553,868
",Groestlcoin,$0.541952,"
134
","$863,851",/currencies/groestlcoin/,"71,138,959",0.11%,-1.11%,GRS,-1.11%
"
$37,715,235
",Enjin Coin,$0.049550,"
135
","$3,403,885",/currencies/enjin-coin/,"761,158,535",0.28%,1.32%,ENJ,-4.94%
"
$37,324,828
",Eidoo,$1.28,"
136
","$1,605,340",/currencies/eidoo/,"29,261,461",0.44%,22.96%,EDO,6.18%
"
$37,270,158
",Storm,$0.008323,"
137
","$4,625,694",/currencies/storm/,"4,478,218,033",-0.68%,6.76%,STORM,-4.75%
"
$37,225,771
",Factom,$4.26,"
138
","$96,421",/currencies/factom/,"8,745,102",-0.30%,-0.56%,FCT,-3.85%
"
$37,137,283
",Matrix AI Net...,$0.247582,"
139
","$4,794,601",/currencies/matrix-ai-network/,"150,000,000",1.50%,9.72%,MAN,0.46%
"
$36,573,591
",Bibox Token,$0.350526,"
140
","$62,331,307",/currencies/bibox-token/,"104,339,166",0.16%,-5.39%,BIX,-1.29%
"
 $36,524,044
",GoChain,$0.058420,"
141
","$16,582,532",/currencies/gochain/,"625,192,988",-2.11%,32.64%,GO,24.93%
"
$36,254,189
",Iconomi,$0.366462,"
142
","$167,742",/currencies/iconomi/,"98,930,340",2.55%,-1.46%,ICN,0.88%
"
$35,712,632
",Linkey,$0.714253,"
143
","$36,259",/currencies/linkey/,"50,000,000",0.25%,-2.36%,LKY,-2.65%
"
$35,437,512
",Bread,$0.399368,"
144
","$579,213",/currencies/bread/,"88,733,978",0.16%,8.09%,BRD,2.95%
"
$35,221,174
",Skycoin,$3.52,"
145
","$672,131",/currencies/skycoin/,"10,000,000",-0.69%,-8.90%,SKY,-5.81%
"
$34,516,688
",Ethos,$0.422774,"
146
","$2,304,776",/currencies/ethos/,"81,643,292",-0.82%,16.64%,ETHOS,-4.16%
"
$34,370,277
",BridgeCoin,$1.27,"
147
","$17,377",/currencies/bridgecoin/,"27,000,000",-5.12%,-6.38%,BCO,-8.97%
"
$32,065,809
",Moeda Loyalty...,$1.63,"
148
","$24,020,169",/currencies/moeda-loyalty-points/,"19,628,888",3.70%,-34.33%,MDA,-14.85%
"
$31,939,802
",ODEM,$0.146511,"
149
","$5,889",/currencies/odem/,"218,002,386",-0.18%,17.35%,ODE,8.68%
"
$31,709,887
",Vertcoin,$0.681641,"
150
","$260,282",/currencies/vertcoin/,"46,519,900",-1.67%,-0.81%,VTC,-2.65%
"
$31,378,387
",BHPCash,$1.11,"
151
","$8,733,011",/currencies/bhpcash/,"28,209,144",0.31%,-3.39%,BHPC,-1.50%
"
$31,154,140
",Tokenomy,$0.155771,"
152
","$4,254,417",/currencies/tokenomy/,"200,000,000",-1.39%,5.87%,TEN,-1.72%
"
$30,792,204
",Gold Bits Coin,$0.290579,"
153
","$61,371",/currencies/gold-bits-coin/,"105,968,611",0.22%,62.58%,GBC,78.25%
"
$30,670,893
",Ignis,$0.040296,"
154
","$503,323",/currencies/ignis/,"761,143,950",-0.17%,0.93%,IGNIS,-0.55%
"
$30,529,594
",Scry.info,$0.069376,"
155
","$496,924",/currencies/scryinfo/,"440,057,074",0.14%,-0.25%,DDD,-3.35%
"
$29,993,154
",TRONCLASSIC,$0.000064,"
 156
","$29,160",/currencies/tronclassic/,"465,107,478,370",0.30%,> 9000%,TRXC,510.70%
"
$29,450,999
",Neblio,$2.16,"
157
","$1,328,773",/currencies/neblio/,"13,649,568",-3.07%,13.63%,NEBL,6.25%
"
$29,175,941
",SingularityNET,$0.054062,"
158
","$596,771",/currencies/singularitynet/,"539,673,260",0.16%,8.25%,AGI,1.58%
"
$28,878,954
",Telcoin,$0.000831,"
159
","$197,156",/currencies/telcoin/,"34,742,729,897",1.46%,-17.25%,TEL,-1.73%
"
$28,857,864
",Raiden Networ...,$0.575214,"
160
","$715,109",/currencies/raiden-network-token/,"50,168,936",0.26%,8.88%,RDN,-5.80%
"
$28,682,889
",Byteball Bytes,$43.27,"
161
","$36,016",/currencies/byteball/,"662,811",0.20%,2.56%,GBYTE,-3.70%
"
$28,658,370
",Santiment Net...,$0.457360,"
162
","$331,457",/currencies/santiment/,"62,660,371",0.42%,-2.64%,SAN,-1.43%
"
$28,399,337
",Endor Protocol,$0.046152,"
163
","$597,151",/currencies/endor-protocol/,"615,348,036",-0.08%,4.61%,EDR,0.37%
"
$28,050,464
",Pillar,$0.108158,"
164
","$9,724",/currencies/pillar/,"259,348,201",-0.49%,-11.82%,PLR,-0.11%
"
$27,889,436
",THEKEY,$0.005512,"
165
","$90,183",/currencies/thekey/,"5,060,038,287",1.61%,-1.18%,TKY,0.55%
"
$27,661,821
",Centrality,$0.034612,"
166
","$21,865",/currencies/centrality/,"799,192,336",1.16%,-11.53%,CENNZ,-4.44%
"
$27,524,534
",Ambrosus,$0.190361,"
167
","$1,223,694",/currencies/amber/,"144,590,975",-0.70%,14.87%,AMB,-12.11%
"
$27,245,446
",Wagerr,$0.148882,"
168
","$19,737",/currencies/wagerr/,"183,000,000",0.20%,-24.09%,WGR,-5.48%
"
$27,080,187
",Credo,$0.049246,"
169
","$19,278",/currencies/credo/,"549,891,703",0.24%,-11.87%,CREDO,-11.18%
"
$27,019,473
",Po.et,$0.011364,"
170
","$2,665,539",/currencies/poet/,"2,377,557,320",0.84%,15.15%,POE,-1.58%
"
$26,755,761
",ARBITRAGE,$6.14,"
171
","$33,662",/currencies/arbitrage/,"4,359,122",4.60%,30.33%,ARB,-3.87%
"
$26,622,780
",Mainframe,$0.007726,"
172
","$3,567,757",/currencies/mainframe/,"3,445,885,912",0.68%,11.38%,MFT,-3.56%
"
$26,537,950
",High Performa...,$0.711423,"
173
","$2,770,689",/currencies/high-performance-blockchain/,"37,302,632",0.29%,-3.23%,HPB,0.26%
"
$26,124,273
",Fusion,$0.879463,"
174
","$691,133",/currencies/fusion/,"29,704,811",0.25%,5.67%,FSN,6.64%
"
$25,938,527
",Nucleus Vision,$0.004784,"
175
","$2,013,240",/currencies/nucleus-vision/,"5,421,491,945",0.36%,-1.83%,NCASH,-2.00%
"
$25,674,454
",CRYPTO20,$0.636677,"
176
","$3,189",/currencies/c20/,"40,325,722",0.25%,-6.20%,C20,-7.79%
"
$25,614,171
",TomoChain,$0.465712,"
177
","$1,199,216",/currencies/tomochain/,"55,000,000",-0.06%,-1.97%,TOMO,-2.17%
"
$25,561,191
",Streamr DATAcoin,$0.037748,"
178
","$927,194",/currencies/streamr-datacoin/,"677,154,514",0.21%,2.58%,DATA,-3.88%
"
$25,550,982
",Time New Bank,$0.010389,"
179
","$2,037,490",/currencies/time-new-bank/,"2,459,435,804",2.98%,6.13%,TNB,-0.24%
"
$25,528,772
",Crypterium,$0.319923,"
180
","$2,518,959",/currencies/crypterium/,"79,796,520",0.08%,1.93%,CRPT,-6.05%
"
$25,043,490
",Quantstamp,$0.040568,"
181
","$341,479",/currencies/quantstamp/,"617,314,171",0.38%,-12.31%,QSP,-3.42%
"
$25,026,094
",Bluzelle,$0.128906,"
182
","$617,956",/currencies/bluzelle/,"194,142,826",0.17%,3.95%,BLZ,-4.47%
"
$24,904,808
",SmartMesh,$0.017617,"
183
","$70,582",/currencies/smartmesh/,"1,413,716,694",0.33%,3.09%,SMT,-1.56%
"
$24,074,699
",USD//Coin,$1.01,"
184
","$260,010",/currencies/usd-coin/,"23,841,602",0.15%,-3.79%,USDC,-0.26%
"
$24,070,591
",Storiqa,$0.002451,"
185
","$959,288",/currencies/storiqa/,"9,820,877,590",1.26%,2.36%,STQ,5.36%
"
$23,888,903
",Vitae,$2.79,"
186
","$50,326",/currencies/vitae/,"8,577,173",2.92%,-15.94%,VITAE,-3.22%
"
$23,677,018
",POA Network,$0.107660,"
187
","$1,525,905",/currencies/poa-network/,"219,924,924",-0.91%,9.64%,POA,0.08%
"
$23,636,140
",Zipper,$0.001459,"
188
","$2,197,384",/currencies/zip/,"16,199,999,812",1.47%,-13.40%,ZIP,-3.57%
"
$23,250,521
",BOScoin,$0.050783,"
189
","$15,440",/currencies/boscoin/,"457,838,751",-0.21%,-5.24%,BOS,0.04%
"
$22,854,064
",Peercoin,$0.913794,"
190
","$295,912",/currencies/peercoin/,"25,010,091",0.54%,-3.26%,PPC,-2.28%
"
$22,655,488
",NavCoin,$0.356705,"
191
 ","$337,153",/currencies/nav-coin/,"63,513,216",1.05%,8.98%,NAV,-3.45%
"
$22,621,049
",BnkToTheFuture,$0.035907,"
192
","$74,041",/currencies/bnktothefuture/,"629,990,099",0.02%,-6.16%,BFT,-1.10%
